date,estate,plantation_area_ha,rainfall_mm,workers,fertilizer_kg,production_tons
2021-01-01,Batu Karo,1190.97,115.0,340,8894.4,2107.22
2021-01-01,Besilam,959.77,236.1,253,7727.3,1710.12
2021-01-01,Gunung Melayu,1408.29,138.9,404,10451.6,2620.9
2021-01-01,Padang Halaban,833.85,87.4,194,5527.2,928.31
2021-01-01,Rambung Sialang,624.16,133.3,142,3642.0,512.25
2021-02-01,Batu Karo,1220.53,140.5,306,8524.2,2027.18
2021-02-01,Besilam,986.32,138.0,257,6573.7,1574.48
2021-02-01,Gunung Melayu,1415.0,164.4,389,9682.7,2487.1
2021-02-01,Padang Halaban,826.25,108.1,211,5234.7,980.39
2021-02-01,Rambung Sialang,620.75,198.2,150,3560.5,574.5
2021-03-01,Batu Karo,1170.37,119.6,306,7726.9,1923.51
2021-03-01,Besilam,966.56,180.5,282,6993.7,1587.06
2021-03-01,Gunung Melayu,1418.76,191.2,396,8966.1,2989.22
2021-03-01,Padang Halaban,861.68,127.2,207,5031.4,1055.18
2021-03-01,Rambung Sialang,633.51,157.0,152,3671.5,600.84
2021-04-01,Batu Karo,1187.41,161.8,330,8733.8,2463.41
2021-04-01,Besilam,957.63,232.3,278,7575.5,1908.14
2021-04-01,Gunung Melayu,1449.46,168.9,381,9658.0,3038.59
2021-04-01,Padang Halaban,840.53,141.0,200,5948.3,1053.03
2021-04-01,Rambung Sialang,629.51,128.6,144,3478.5,614.02
2021-05-01,Batu Karo,1230.94,176.6,333,8726.8,2670.79
2021-05-01,Besilam,961.57,133.4,284,7256.7,1838.83
2021-05-01,Gunung Melayu,1426.33,45.5,376,10423.3,2917.31
2021-05-01,Padang Halaban,835.83,157.7,189,5321.4,1194.29
2021-05-01,Rambung Sialang,620.7,164.2,154,3696.4,641.04
2021-06-01,Batu Karo,1185.66,167.7,310,7712.7,2762.68
2021-06-01,Besilam,953.63,139.1,261,7787.9,1812.54
2021-06-01,Gunung Melayu,1449.08,216.4,405,9294.4,3610.41
2021-06-01,Padang Halaban,836.62,228.2,206,5354.6,1371.66
2021-06-01,Rambung Sialang,621.33,120.4,141,4054.8,643.38
2021-07-01,Batu Karo,1166.94,165.4,324,8801.9,2354.84
2021-07-01,Besilam,963.92,123.6,275,6731.1,1894.62
2021-07-01,Gunung Melayu,1488.0,148.9,360,9488.5,3214.23
2021-07-01,Padang Halaban,858.16,92.7,208,5560.7,1152.6
2021-07-01,Rambung Sialang,604.86,100.2,158,4104.3,651.99
2021-08-01,Batu Karo,1189.14,176.3,330,9175.1,2456.5
2021-08-01,Besilam,988.35,175.2,254,6712.7,1888.81
2021-08-01,Gunung Melayu,1407.3,249.0,358,10120.5,3207.97
2021-08-01,Padang Halaban,857.75,131.2,192,5733.4,1079.9
2021-08-01,Rambung Sialang,629.17,202.0,153,4065.4,734.76
2021-09-01,Batu Karo,1170.74,204.5,314,8100.8,2264.26
2021-09-01,Besilam,987.71,153.1,281,7203.8,1950.54
2021-09-01,Gunung Melayu,1423.49,166.9,391,9370.3,2903.7
2021-09-01,Padang Halaban,833.53,154.9,212,5999.3,1129.71
2021-09-01,Rambung Sialang,601.97,144.6,158,3745.4,618.4
2021-10-01,Batu Karo,1191.73,174.6,335,8188.8,2516.87
2021-10-01,Besilam,1005.65,175.4,277,7300.9,2007.74
2021-10-01,Gunung Melayu,1492.63,181.1,360,9835.9,3529.47
2021-10-01,Padang Halaban,860.05,205.7,205,5345.4,1302.47
2021-10-01,Rambung Sialang,631.54,188.2,157,4114.1,857.67
2021-11-01,Batu Karo,1221.48,175.5,326,8843.3,2640.95
2021-11-01,Besilam,970.47,143.2,265,6615.3,1879.91
2021-11-01,Gunung Melayu,1447.01,146.3,382,9381.6,3234.68
2021-11-01,Padang Halaban,826.4,167.9,209,5346.2,1166.07
2021-11-01,Rambung Sialang,630.04,272.5,144,3893.4,804.9
2021-12-01,Batu Karo,1209.89,73.9,330,9308.9,2126.87
2021-12-01,Besilam,997.36,130.3,261,7112.1,1781.58
2021-12-01,Gunung Melayu,1421.58,244.4,361,9310.5,3009.45
2021-12-01,Padang Halaban,858.17,182.0,193,6000.4,1173.13
2021-12-01,Rambung Sialang,624.16,222.0,148,3608.3,616.95
2022-01-01,Batu Karo,1165.04,154.3,302,7728.2,2180.61
2022-01-01,Besilam,956.35,153.6,269,7161.8,1500.09
2022-01-01,Gunung Melayu,1441.17,159.2,386,10064.8,2696.22
2022-01-01,Padang Halaban,856.42,120.8,200,5892.1,1031.12
2022-01-01,Rambung Sialang,604.03,194.1,152,3440.1,583.83
2022-02-01,Batu Karo,1205.43,261.0,314,8743.6,2033.96
2022-02-01,Besilam,1005.96,143.1,265,7864.1,1581.04
2022-02-01,Gunung Melayu,1434.25,138.5,398,8865.6,2683.66
2022-02-01,Padang Halaban,830.53,181.3,205,5641.8,1016.63
2022-02-01,Rambung Sialang,631.29,198.6,145,3554.9,588.62
2022-03-01,Batu Karo,1235.32,134.9,316,8282.4,2319.33
2022-03-01,Besilam,1005.33,202.1,283,7097.8,1867.15
2022-03-01,Gunung Melayu,1415.47,141.5,401,9810.3,2883.69
2022-03-01,Padang Halaban,870.17,179.6,196,4961.9,1101.47
2022-03-01,Rambung Sialang,636.76,84.4,151,3900.2,566.64
2022-04-01,Batu Karo,1187.66,193.1,327,8929.0,2482.59
2022-04-01,Besilam,955.96,70.9,269,6562.9,1748.64
2022-04-01,Gunung Melayu,1483.73,183.6,372,9049.5,3090.84
2022-04-01,Padang Halaban,856.03,145.5,188,5042.5,1133.0
2022-04-01,Rambung Sialang,631.97,99.8,154,3481.8,591.35
2022-05-01,Batu Karo,1222.52,135.1,340,9326.2,2688.04
2022-05-01,Besilam,955.51,203.6,280,7284.1,1937.38
2022-05-01,Gunung Melayu,1416.17,134.3,379,8842.3,3082.81
2022-05-01,Padang Halaban,830.56,188.4,189,5664.1,1270.03
2022-05-01,Rambung Sialang,637.19,149.6,147,3637.1,699.97
2022-06-01,Batu Karo,1233.35,175.1,298,9298.8,2601.77
2022-06-01,Besilam,954.94,267.4,272,7875.8,2098.58
2022-06-01,Gunung Melayu,1467.03,204.3,377,10050.0,3465.7
2022-06-01,Padang Halaban,826.82,160.0,193,5995.5,1240.41
2022-06-01,Rambung Sialang,624.47,69.4,145,3563.0,625.53
2022-07-01,Batu Karo,1206.02,78.9,301,9306.5,2281.39
2022-07-01,Besilam,998.45,105.6,276,6714.2,1955.84
2022-07-01,Gunung Melayu,1487.65,161.7,399,8908.6,3238.57
2022-07-01,Padang Halaban,865.84,87.9,213,5115.5,1220.66
2022-07-01,Rambung Sialang,637.48,54.6,157,4057.1,606.8
2022-08-01,Batu Karo,1183.69,165.2,300,9120.0,2327.68
2022-08-01,Besilam,995.82,150.9,286,7703.5,1751.0
2022-08-01,Gunung Melayu,1417.74,197.0,404,10008.1,3018.54
2022-08-01,Padang Halaban,856.02,175.9,196,5074.9,1273.95
2022-08-01,Rambung Sialang,630.13,257.7,150,4067.7,759.19
2022-09-01,Batu Karo,1227.12,232.0,315,7877.8,2535.64
2022-09-01,Besilam,963.12,212.6,256,6500.9,1625.28
2022-09-01,Gunung Melayu,1440.63,174.0,376,10592.2,2681.98
2022-09-01,Padang Halaban,864.47,88.3,197,5634.3,1052.11
2022-09-01,Rambung Sialang,618.48,215.5,160,3794.4,616.47
2022-10-01,Batu Karo,1181.29,181.5,300,7869.1,2457.98
2022-10-01,Besilam,961.29,257.5,264,7771.4,2055.69
2022-10-01,Gunung Melayu,1421.49,141.1,363,8900.1,3090.45
2022-10-01,Padang Halaban,833.53,100.5,188,5082.7,1148.73
2022-10-01,Rambung Sialang,614.95,133.5,150,3944.7,688.99
2022-11-01,Batu Karo,1226.9,203.3,338,7753.8,2654.14
2022-11-01,Besilam,994.6,152.6,258,6781.5,1742.91
2022-11-01,Gunung Melayu,1460.29,203.3,373,9726.6,3246.63
2022-11-01,Padang Halaban,870.16,159.2,200,5535.3,1209.48
2022-11-01,Rambung Sialang,621.21,156.6,144,3624.6,674.71
2022-12-01,Batu Karo,1187.19,240.9,307,8206.7,2401.09
2022-12-01,Besilam,997.0,271.8,269,6605.2,1957.85
2022-12-01,Gunung Melayu,1471.35,125.6,376,9070.1,2669.18
2022-12-01,Padang Halaban,857.44,166.2,201,5341.7,1104.76
2022-12-01,Rambung Sialang,610.22,135.7,141,3536.2,560.27
2023-01-01,Batu Karo,1177.43,52.4,310,7944.7,1948.39
2023-01-01,Besilam,1008.36,139.0,255,7052.9,1667.91
2023-01-01,Gunung Melayu,1421.37,256.9,388,10641.6,3116.64
2023-01-01,Padang Halaban,838.78,130.7,207,5155.7,937.08
2023-01-01,Rambung Sialang,620.28,96.4,144,3507.3,559.4
2023-02-01,Batu Karo,1205.85,135.7,304,8467.9,1985.93
2023-02-01,Besilam,970.39,137.9,256,6571.3,1535.98
2023-02-01,Gunung Melayu,1465.79,53.8,393,9987.5,2381.15
2023-02-01,Padang Halaban,842.29,172.6,212,5863.7,1014.47
2023-02-01,Rambung Sialang,608.14,217.6,140,3983.3,561.45
2023-03-01,Batu Karo,1174.06,150.7,333,7992.8,2139.82
2023-03-01,Besilam,998.5,204.2,276,7233.2,1762.14
2023-03-01,Gunung Melayu,1440.64,134.6,396,9680.7,2551.25
2023-03-01,Padang Halaban,839.87,179.7,206,5503.0,1075.35
2023-03-01,Rambung Sialang,615.68,125.2,150,4108.9,582.79
2023-04-01,Batu Karo,1231.67,180.2,325,8219.3,2440.4
2023-04-01,Besilam,987.06,143.1,271,7767.2,1824.29
2023-04-01,Gunung Melayu,1433.62,168.2,366,10278.1,2946.27
2023-04-01,Padang Halaban,863.39,222.9,210,5326.3,1223.32
2023-04-01,Rambung Sialang,606.98,204.1,144,3968.9,676.56
2023-05-01,Batu Karo,1213.96,117.4,321,8078.1,2401.73
2023-05-01,Besilam,1004.02,194.4,273,7057.2,2014.41
2023-05-01,Gunung Melayu,1419.84,155.9,384,9811.5,3169.92
2023-05-01,Padang Halaban,868.98,186.6,212,5571.6,1305.74
2023-05-01,Rambung Sialang,627.71,104.6,142,3858.0,694.51
2023-06-01,Batu Karo,1217.02,120.5,339,9223.5,2538.77
